match_id,home_team,away_team,home_score,away_score,match_date,eu_home_odds,eu_draw_odds,eu_away_odds,eu_bookmaker,ou_line,ou_over_odds,ou_under_odds,ou_expected_goals,ou_bookmaker,ah_handicap,ah_home_odds,ah_away_odds,ah_bookmaker,kelly_home,kelly_draw,kelly_away,kelly_has_value,hot_cold_home,hot_cold_draw,hot_cold_away,hot_cold_has_value,betfair_home,betfair_draw,betfair_away,betfair_has_value
1,AFC Bournemouth,Leeds United FC,2,2,2026-04-22T19:00:00,2.64,4.12,3.04,Calculated-V2,3.5,1.55,3.28,3.5,Calculated-V2,-1.25,2.01,1.89,Calculated-V2,0.0318,0.0167,0.0256,True,1.205,0.8503,1.0626,False,0.8707,0.7293,0.9097,True
2,Burnley FC,Manchester City FC,0,1,2026-04-22T19:00:00,4.67,4.46,1.95,Calculated-V2,3.0,1.77,2.61,3.09,Calculated-V2,3.0,1.55,2.35,Calculated-V2,0.014,0.0148,0.054,True,0.8603,0.8878,1.8523,False,0.8662,0.7128,1.0953,True
3,Sunderland AFC,Nottingham Forest FC,0,5,2026-04-24T19:00:00,2.87,4.07,2.81,Calculated-V2,2.75,1.59,3.12,2.86,Calculated-V2,-0.5,1.9,2.0,Calculated-V2,0.0281,0.0171,0.0291,True,1.108,0.8912,1.3262,False,0.9723,0.6298,1.2295,True
4,Fulham FC,Aston Villa FC,1,0,2026-04-25T11:30:00,2.89,4.08,2.79,Calculated-V2,2.25,1.95,2.28,2.31,Calculated-V2,0.75,1.96,1.94,Calculated-V2,0.0281,0.0173,0.0297,True,1.3116,0.7048,1.2014,True,0.9707,0.8221,1.0461,False
5,Liverpool FC,Crystal Palace FC,3,1,2026-04-25T14:00:00,2.41,4.21,3.36,Calculated-V2,3.25,2.13,2.08,3.13,Calculated-V2,-2.0,2.15,1.75,Calculated-V2,0.0373,0.0164,0.0223,True,1.5041,0.7406,0.997,True,0.9051,0.7681,0.8677,True
6,West Ham United FC,Everton FC,2,1,2026-04-25T14:00:00,2.93,4.09,2.75,Calculated-V2,2.75,1.68,2.82,2.69,Calculated-V2,0.75,1.96,1.94,Calculated-V2,0.0276,0.0172,0.0304,True,1.1261,0.7315,1.2213,True,0.9362,0.8102,1.0262,False
7,Wolverhampton Wanderers FC,Tottenham Hotspur FC,0,1,2026-04-25T14:00:00,3.71,4.29,2.23,Calculated-V2,2.0,1.69,2.79,2.11,Calculated-V2,2.0,1.75,2.15,Calculated-V2,0.019,0.0156,0.0418,True,0.7463,0.7994,1.2519,True,0.918,0.7744,1.2102,True
8,Arsenal FC,Newcastle United FC,1,0,2026-04-25T16:30:00,2.29,4.26,3.59,Calculated-V2,3.25,2.12,2.09,3.14,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.0408,0.0162,0.0203,True,1.1985,0.7191,1.0543,True,0.753,0.8811,1.0773,True
9,Manchester United FC,Brentford FC,2,1,2026-04-27T19:00:00,2.47,4.19,3.27,Calculated-V2,3.5,1.49,3.58,3.65,Calculated-V2,-2.25,2.2,1.7,Calculated-V2,0.0363,0.0167,0.0235,True,1.2804,0.7513,1.0907,True,0.8762,0.9658,1.3075,False
10,Leeds United FC,Burnley FC,3,1,2026-05-01T19:00:00,2.16,4.33,3.91,Calculated-V2,2.75,1.65,2.9,2.74,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.0457,0.0159,0.0182,True,1.4551,0.7535,0.7469,True,0.8896,0.8456,1.0173,False
